# time (ps)       Fabs (J/m^2)       E_el (J/m^2)      E_lat (J/m^2)       Delta_E (%)
        0.00001000           0.00000000           0.00000000           0.00000000      0.01039
        0.01000000           0.00000000           0.00000000           0.00000000      0.02060
        0.02000000           0.00000000           0.00000000           0.00000000      0.02101
        0.03000000           0.00000000           0.00000000           0.00000000      0.02049
        0.04000000           0.00000000           0.00000000           0.00000000      0.02001
        0.05000000           0.00000001           0.00000001           0.00000000      0.01971
        0.06000000           0.00000001           0.00000001           0.00000000      0.01954
        0.07000000           0.00000003           0.00000003           0.00000000      0.01947
        0.08000000           0.00000006           0.00000006           0.00000000      0.01948
        0.09000000           0.00000013           0.00000013           0.00000000      0.01951
        0.10000000           0.00000027           0.00000026           0.00000000      0.01956
        0.11000000           0.00000055           0.00000053           0.00000001      0.01962
        0.12000000           0.00000110           0.00000107           0.00000001      0.01969
        0.13000000           0.00000217           0.00000210           0.00000003      0.01975
        0.14000000           0.00000423           0.00000408           0.00000006      0.01982
        0.15000000           0.00000811           0.00000783           0.00000012      0.01989
        0.16000000           0.00001535           0.00001482           0.00000022      0.01996
        0.17000000           0.00002866           0.00002766           0.00000043      0.02003
        0.18000000           0.00005281           0.00005094           0.00000080      0.02010
        0.19000000           0.00009600           0.00009257           0.00000149      0.02017
        0.20000000           0.00017220           0.00016599           0.00000273      0.02025
        0.21000000           0.00030480           0.00029367           0.00000494      0.02032
        0.22000000           0.00053235           0.00051267           0.00000882      0.02040
        0.23000000           0.00091747           0.00088315           0.00001553      0.02048
        0.24000000           0.00156031           0.00150121           0.00002701      0.02057
        0.25000000           0.00261860           0.00251815           0.00004635      0.02066
        0.26000000           0.00433683           0.00416832           0.00007850      0.02075
        0.27000000           0.00708821           0.00680916           0.00013118      0.02086
        0.28000000           0.01143335           0.01097724           0.00021622      0.02098
        0.29000000           0.01820111           0.01746531           0.00035137      0.02112
        0.30000000           0.02859724           0.02742585           0.00056260      0.02129
        0.31000000           0.04434739           0.04250749           0.00088696      0.02149
        0.32000000           0.06788075           0.06503026           0.00137560      0.02173
        0.33000000           0.10255999           0.09820555           0.00209695      0.02201
        0.34000000           0.15296127           0.14640474           0.00313937      0.02234
        0.35000000           0.22520494           0.21547742           0.00461316      0.02271
        0.36000000           0.32733283           0.31311548           0.00665167      0.02311
        0.37000000           0.46972142           0.44925274           0.00941156      0.02354
        0.38000000           0.66551227           0.63648187           0.01307231      0.02398
