# time (ps)       Fabs (J/m^2)       E_el (J/m^2)      E_lat (J/m^2)       Delta_E (%)
        0.00001000           0.00000010           0.00000010           0.00000000      0.01775
        0.10000000           0.02846367           0.02700772           0.00053943      0.03220
        0.20000000           1.28773582           1.21299613           0.02369791      0.03964
        0.30000000          16.61298446          15.63269150           0.21294402      0.04619
        0.40000000          69.50523462          65.30319211           0.79282048      0.04905
        0.50000000         122.40074972         114.44998823           1.77831557      0.05043
        0.60000000         137.72885520         127.77426029           2.94880388      0.05087
        0.70000000         138.98852271         127.77716637           4.14803663      0.05082
        0.80000000         139.01699904         126.62784473           5.34285872      0.05069
        0.90000000         139.01717130         125.45897127           6.53094600      0.05055
        1.00000000         139.01717158         124.29666091           7.71223314      0.05041
        1.10000000         139.01717158         123.14103568           8.88672907      0.05028
        1.20000000         139.01717158         121.99207810          10.05444577      0.05014
        1.30000000         139.01717158         120.84977472          11.21539541      0.05001
        1.40000000         139.01717158         119.71411317          12.36959021      0.04987
        1.50000000         139.01717158         118.58508133          13.51704239      0.04974
        1.60000000         139.01717158         117.46266715          14.65776419      0.04961
        1.70000000         139.01717158         116.34685857          15.79176790      0.04948
        1.80000000         139.01717158         115.23764349          16.91906579      0.04935
        1.90000000         139.01717158         114.13500983          18.03967019      0.04922
        2.00000000         139.01717158         113.03894545          19.15359344      0.04909
        2.10000000         139.01717158         111.94943821          20.26084789      0.04896
        2.20000000         139.01717158         110.86647594          21.36144592      0.04884
        2.30000000         139.01717158         109.79004645          22.45539996      0.04871
        2.40000000         139.01717158         108.72013753          23.54272242      0.04859
        2.50000000         139.01717158         107.65673692          24.62342577      0.04846
        2.60000000         139.01717158         106.59983237          25.69752250      0.04834
        2.70000000         139.01717158         105.54941158          26.76502511      0.04822
        2.80000000         139.01717158         104.50546223          27.82594613      0.04809
        2.90000000         139.01717158         103.46797199          28.88029814      0.04797
        3.00000000         139.01717158         102.43692848          29.92809371      0.04785
        3.10000000         139.01717158         101.41231931          30.96934547      0.04773
        3.20000000         139.01717158         100.39413204          32.00406606      0.04761
        3.30000000         139.01717158          99.38235424          33.03226815      0.04749
        3.40000000         139.01717158          98.37697342          34.05396445      0.04738
        3.50000000         139.01717158          97.37797706          35.06916768      0.04726
        3.60000000         139.01717158          96.38535264          36.07789062      0.04714
        3.70000000         139.01717158          95.39908758          37.08014604      0.04703
        3.80000000         139.01717158          94.41916928          38.07594678      0.04692
        3.90000000         139.01717158          93.44558512          39.06530569      0.04680
        4.00000000         139.01717158          92.47832243          40.04823565      0.04669
        4.10000000         139.01717158          91.51736852          41.02474959      0.04658
        4.20000000         139.01717158          90.56271066          41.99486045      0.04647
        4.30000000         139.01717158          89.61433610          42.95858122      0.04636
        4.40000000         139.01717158          88.67223205          43.91592492      0.04625
        4.50000000         139.01717158          87.73638568          44.86690460      0.04614
        4.60000000         139.01717158          86.80678414          45.81153336      0.04603
