# time (ps)       depth (nm)       Te (K)      Tl(K)
  0.1000000000E-04     0.0000000000E+00     0.3000000672E+03     0.3000000000E+03
  0.1000000000E-04     0.6289308176E+00     0.3000000670E+03     0.3000000000E+03
  0.1000000000E-04     0.1257861635E+01     0.3000000667E+03     0.3000000000E+03
  0.1000000000E-04     0.1886792453E+01     0.3000000663E+03     0.3000000000E+03
  0.1000000000E-04     0.2515723270E+01     0.3000000660E+03     0.3000000000E+03
  0.1000000000E-04     0.3144654088E+01     0.3000000657E+03     0.3000000000E+03
  0.1000000000E-04     0.3773584906E+01     0.3000000653E+03     0.3000000000E+03
  0.1000000000E-04     0.4402515723E+01     0.3000000650E+03     0.3000000000E+03
  0.1000000000E-04     0.5031446541E+01     0.3000000646E+03     0.3000000000E+03
  0.1000000000E-04     0.5660377358E+01     0.3000000643E+03     0.3000000000E+03
  0.1000000000E-04     0.6289308176E+01     0.3000000640E+03     0.3000000000E+03
  0.1000000000E-04     0.6918238994E+01     0.3000000637E+03     0.3000000000E+03
  0.1000000000E-04     0.7547169811E+01     0.3000000633E+03     0.3000000000E+03
  0.1000000000E-04     0.8176100629E+01     0.3000000630E+03     0.3000000000E+03
  0.1000000000E-04     0.8805031447E+01     0.3000000627E+03     0.3000000000E+03
  0.1000000000E-04     0.9433962264E+01     0.3000000623E+03     0.3000000000E+03
  0.1000000000E-04     0.1006289308E+02     0.3000000620E+03     0.3000000000E+03
  0.1000000000E-04     0.1069182390E+02     0.3000000617E+03     0.3000000000E+03
  0.1000000000E-04     0.1132075472E+02     0.3000000614E+03     0.3000000000E+03
  0.1000000000E-04     0.1194968553E+02     0.3000000611E+03     0.3000000000E+03
  0.1000000000E-04     0.1257861635E+02     0.3000000607E+03     0.3000000000E+03
  0.1000000000E-04     0.1320754717E+02     0.3000000604E+03     0.3000000000E+03
  0.1000000000E-04     0.1383647799E+02     0.3000000601E+03     0.3000000000E+03
  0.1000000000E-04     0.1446540881E+02     0.3000000598E+03     0.3000000000E+03
  0.1000000000E-04     0.1509433962E+02     0.3000000595E+03     0.3000000000E+03
  0.1000000000E-04     0.1572327044E+02     0.3000000592E+03     0.3000000000E+03
  0.1000000000E-04     0.1635220126E+02     0.3000000589E+03     0.3000000000E+03
  0.1000000000E-04     0.1698113208E+02     0.3000000586E+03     0.3000000000E+03
  0.1000000000E-04     0.1761006289E+02     0.3000000583E+03     0.3000000000E+03
  0.1000000000E-04     0.1823899371E+02     0.3000000580E+03     0.3000000000E+03
  0.1000000000E-04     0.1886792453E+02     0.3000000577E+03     0.3000000000E+03
  0.1000000000E-04     0.1949685535E+02     0.3000000574E+03     0.3000000000E+03
  0.1000000000E-04     0.2012578616E+02     0.3000000571E+03     0.3000000000E+03
  0.1000000000E-04     0.2075471698E+02     0.3000000568E+03     0.3000000000E+03
  0.1000000000E-04     0.2138364780E+02     0.3000000565E+03     0.3000000000E+03
  0.1000000000E-04     0.2201257862E+02     0.3000000562E+03     0.3000000000E+03
  0.1000000000E-04     0.2264150943E+02     0.3000000559E+03     0.3000000000E+03
  0.1000000000E-04     0.2327044025E+02     0.3000000556E+03     0.3000000000E+03
  0.1000000000E-04     0.2389937107E+02     0.3000000553E+03     0.3000000000E+03
  0.1000000000E-04     0.2452830189E+02     0.3000000550E+03     0.3000000000E+03
  0.1000000000E-04     0.2515723270E+02     0.3000000548E+03     0.3000000000E+03
  0.1000000000E-04     0.2578616352E+02     0.3000000545E+03     0.3000000000E+03
  0.1000000000E-04     0.2641509434E+02     0.3000000542E+03     0.3000000000E+03
  0.1000000000E-04     0.2704402516E+02     0.3000000539E+03     0.3000000000E+03
  0.1000000000E-04     0.2767295597E+02     0.3000000536E+03     0.3000000000E+03
  0.1000000000E-04     0.2830188679E+02     0.3000000534E+03     0.3000000000E+03
  0.1000000000E-04     0.2893081761E+02     0.3000000531E+03     0.3000000000E+03
  0.1000000000E-04     0.2955974843E+02     0.3000000528E+03     0.3000000000E+03
  0.1000000000E-04     0.3018867925E+02     0.3000000525E+03     0.3000000000E+03
  0.1000000000E-04     0.3081761006E+02     0.3000000523E+03     0.3000000000E+03
